,Attacker,Graph size,Episode lengths,Returns
594,random,44,403,-201639
595,random,44,714,-155604
596,random,44,977,-171404
597,random,44,1589,-126940
598,random,44,617,-124739
599,random,44,617,-93853
600,well-informed,56,461,-98150
601,well-informed,56,429,-118633
602,well-informed,56,533,-89827
603,well-informed,56,402,-165521
604,well-informed,56,497,-102531
605,well-informed,56,1020,-112629
606,well-informed,56,502,-96419
607,well-informed,56,354,-133667
608,well-informed,56,749,-109580
609,well-informed,56,474,-76855
610,well-informed,56,357,-169844
611,well-informed,56,513,-86260
612,well-informed,56,510,-55037
613,well-informed,56,414,-152052
614,well-informed,56,426,-102839
615,well-informed,56,489,-96214
616,well-informed,56,468,-146594
617,well-informed,56,616,-84651
618,well-informed,56,453,-235144
619,well-informed,56,450,-117206
620,well-informed,56,864,-199476
621,well-informed,56,560,-102888
622,well-informed,56,471,-97324
623,well-informed,56,289,-172672
624,well-informed,56,439,-68382
625,well-informed,56,606,-90843
626,well-informed,56,500,-123632
627,well-informed,56,337,-145414
628,well-informed,56,486,-83813
629,well-informed,56,388,-88337
630,well-informed,56,285,-118480
631,well-informed,56,523,-112286
632,well-informed,56,435,-133970
633,well-informed,56,252,-105290
634,well-informed,56,662,-132116
635,well-informed,56,363,-101291
636,well-informed,56,319,-109320
637,well-informed,56,464,-91238
638,well-informed,56,977,-143947
639,well-informed,56,278,-150546
640,well-informed,56,555,-75834
641,well-informed,56,421,-121771
642,well-informed,56,521,-84745
643,well-informed,56,469,-128233
644,well-informed,56,385,-180016
645,well-informed,56,746,-88984
646,well-informed,56,546,-147617
647,well-informed,56,488,-126014
648,well-informed,56,455,-145656
649,well-informed,56,727,-120940
650,informed,56,461,-98150
651,informed,56,429,-118633
652,informed,56,533,-89827
653,informed,56,402,-165521
654,informed,56,497,-102531
655,informed,56,1020,-112629
656,informed,56,502,-96419
657,informed,56,354,-133667
658,informed,56,749,-109580
659,informed,56,474,-76855
660,informed,56,357,-169844
661,informed,56,513,-86260
662,informed,56,510,-55037
663,informed,56,414,-152052
664,informed,56,426,-102839
665,informed,56,489,-96214
666,informed,56,468,-146594
667,informed,56,616,-84651
668,informed,56,453,-235144
669,informed,56,450,-117206
670,informed,56,864,-199476
671,informed,56,560,-102888
672,informed,56,471,-97324
673,informed,56,289,-172672
674,informed,56,439,-68382
675,informed,56,606,-90843
676,informed,56,500,-123632
677,informed,56,337,-145414
678,informed,56,486,-83813
679,informed,56,388,-88337
680,informed,56,285,-118480
681,informed,56,523,-112286
682,informed,56,435,-133970
683,informed,56,252,-105290
684,informed,56,662,-132116
685,informed,56,363,-101291
686,informed,56,319,-109320
687,informed,56,464,-91238
688,informed,56,977,-143947
689,informed,56,278,-150546
690,informed,56,555,-75834
691,informed,56,421,-121771
692,informed,56,521,-84745
693,informed,56,469,-128233
694,informed,56,385,-180016
695,informed,56,746,-88984
696,informed,56,546,-147617
697,informed,56,488,-126014
698,informed,56,455,-145656
699,informed,56,727,-120940
700,round-robin,56,461,-98150
701,round-robin,56,429,-118633
702,round-robin,56,533,-89827
703,round-robin,56,402,-165521
704,round-robin,56,497,-102531
705,round-robin,56,1020,-112629
706,round-robin,56,502,-96419
707,round-robin,56,354,-133667
708,round-robin,56,749,-109580
709,round-robin,56,474,-76855
710,round-robin,56,357,-169844
711,round-robin,56,513,-86260
712,round-robin,56,510,-55037
713,round-robin,56,414,-152052
714,round-robin,56,426,-102839
715,round-robin,56,489,-96214
716,round-robin,56,468,-146594
717,round-robin,56,616,-84651
718,round-robin,56,453,-235144
719,round-robin,56,450,-117206
720,round-robin,56,864,-199476
721,round-robin,56,560,-102888
722,round-robin,56,471,-97324
723,round-robin,56,289,-172672
724,round-robin,56,439,-68382
725,round-robin,56,606,-90843
726,round-robin,56,500,-123632
727,round-robin,56,337,-145414
728,round-robin,56,486,-83813
729,round-robin,56,388,-88337
730,round-robin,56,285,-118480
731,round-robin,56,523,-112286
732,round-robin,56,435,-133970
733,round-robin,56,252,-105290
734,round-robin,56,662,-132116
